iter	F1	Logloss
381	0.85293999	0.3435005309
382	0.8525371201	0.3433024462
383	0.8535656072	0.3430872396
384	0.8543714667	0.3428944542
385	0.8541576515	0.3427873472
386	0.8539684755	0.3425923245
387	0.8539971792	0.3425194826
388	0.8537791417	0.3424091096
389	0.8539025045	0.3422187308
390	0.8541822722	0.3420902104
391	0.8541822722	0.3419419905
392	0.8541493372	0.3418488452
393	0.8548653437	0.3416418308
394	0.8546144681	0.3413295098
395	0.8545198539	0.3411996566
396	0.8543345554	0.341009117
397	0.8547090427	0.3408251379
398	0.8548653437	0.3407003566
399	0.8546144681	0.3405274005
400	0.8547708146	0.3403057448
401	0.8545198539	0.3401309334
402	0.8544869904	0.3399828068
403	0.854643431	0.3397947813
404	0.8551089421	0.3396046894
405	0.8559197734	0.3394394167
406	0.8561054635	0.3392459021
407	0.855949205	0.3390727993
408	0.8560111167	0.3389859726
409	0.8561054635	0.3388072478
410	0.8566978381	0.3385889798
411	0.8566978381	0.3385295652
412	0.8566655872	0.338344233
413	0.8567275434	0.3380964376
414	0.8571017607	0.3377368798
415	0.8571958494	0.3375011044
416	0.8572257291	0.3373344428
417	0.8574437973	0.3371611484
418	0.8581598788	0.3369704663
419	0.8584081475	0.3367912747
420	0.8581901044	0.33656567
421	0.8579401238	0.3364233717
422	0.8582521822	0.3361908202
423	0.8586882639	0.3360118041
424	0.8587199502	0.3358460629
425	0.8588757877	0.3357071035
426	0.8590621086	0.3355727744
427	0.8588757877	0.3354922609
428	0.8587199502	0.3354316834
429	0.8587199502	0.3353303672
430	0.8588441496	0.3351909219
431	0.8586261625	0.3351000185
432	0.859187335	0.3349246419
433	0.8590315826	0.334767406
434	0.8592494386	0.3345974936
435	0.8594664767	0.3343651071
436	0.8596222486	0.3341348909
437	0.8600889139	0.333894707
438	0.8607736864	0.3336486606
439	0.8612091991	0.33354052
440	0.8606803421	0.3334098166
441	0.8608048321	0.3331228085
442	0.8608981639	0.3330410692
443	0.8612095151	0.3327780239
444	0.8619876628	0.332621623
445	0.8620500133	0.3323476084
446	0.8622054548	0.3321772742
447	0.8621431016	0.3320273606
448	0.8622054548	0.3318573741
449	0.8619876628	0.3316744801
450	0.861707513	0.3315523745
451	0.8624538517	0.3313815639
452	0.8621431016	0.3311981869
453	0.8623619014	0.3309456888
454	0.8623619014	0.3308509225
455	0.8624549582	0.3307822358
456	0.8624549582	0.3305333834
457	0.8622995058	0.3303770918
458	0.8627033407	0.3302542038
459	0.8627033407	0.3301820593
460	0.8628905522	0.3301160281
461	0.8628905522	0.3300621291
462	0.8632635979	0.3298730786
463	0.8631083072	0.3297586613
464	0.8638218986	0.3296105779
465	0.8640394155	0.3294598705
466	0.8640394155	0.3294133142
467	0.8638218986	0.3290973306
468	0.8643193659	0.3289930936
469	0.8640394155	0.3288527499
470	0.8641018653	0.3286781265
471	0.8636989445	0.3285438373
472	0.8640717051	0.3283993637
473	0.8645368386	0.3282656672
474	0.8644142496	0.328125205
475	0.8646618121	0.327994494
476	0.8642892688	0.327908784
477	0.8638541134	0.3277557898
478	0.8636989445	0.3276279301
479	0.8636989445	0.3272669015
480	0.8633884796	0.3270122642
481	0.8638238731	0.3268287881
482	0.8642892688	0.3265769859
483	0.8641966625	0.3263781428
484	0.8645693022	0.3260993976
485	0.8651293824	0.3258337036
486	0.8651293824	0.3256554982
487	0.8651293824	0.3255011311
488	0.8652872218	0.3253798289
489	0.8655643285	0.3251919603
490	0.866032147	0.3250504516
491	0.8658772768	0.3248139834
492	0.8660651544	0.3246659625
493	0.8660025195	0.3244791867
494	0.8663453349	0.3242153485
495	0.8663748684	0.3240336208
496	0.8666882054	0.3238333767
497	0.8665333564	0.3236797228
498	0.8667176449	0.3235803785
499	0.8667176449	0.3235342526
500	0.8673406334	0.3234011929
501	0.8673406334	0.3233660627
502	0.8674953212	0.3232330665
503	0.8679928098	0.3230373557
504	0.8672779128	0.3228687616
505	0.8672779128	0.3227201636
506	0.8671859034	0.3225625925
507	0.8674661019	0.3223213586
508	0.8674368661	0.3221680791
509	0.8674076139	0.3220579073
510	0.8676543726	0.3219264691
511	0.8678135828	0.3217633674
512	0.8680020638	0.3215195707
513	0.8679101	0.3213850455
514	0.8682196757	0.3212285455
515	0.8685630059	0.3210744299
516	0.8685630059	0.3208767742
517	0.8688434837	0.3207847747
518	0.8686548154	0.32064455
519	0.8688094604	0.3204481448
520	0.8685001282	0.3202498652
521	0.8689063914	0.3200537376
522	0.8689693082	0.3198436886
523	0.8690034051	0.3197118881
524	0.8689116027	0.3196365482
525	0.8688486547	0.3195674404
526	0.8690034051	0.3194592525
527	0.8691581131	0.3193478943
528	0.8693127788	0.3191897582
529	0.8696849444	0.3190093078
530	0.8699368795	0.3188941272
531	0.8696906505	0.3187660312
532	0.8695016736	0.3185222706
533	0.8695359693	0.3183564276
534	0.869873882	0.3181340457
535	0.8697536611	0.3180182354
536	0.8703435227	0.317920164
537	0.8704980424	0.3176563395
538	0.8701889606	0.3174881184
539	0.8701259266	0.3172827772
540	0.8704411879	0.3171508135
541	0.8700343563	0.3169288658
542	0.8702520037	0.316722356
543	0.869788056	0.3166247054
544	0.870813375	0.3164619547
545	0.8706588424	0.3163285454
546	0.8706588424	0.316237709
547	0.8705673563	0.3160600459
548	0.8704473803	0.3159045552
549	0.87057363	0.3157988221
550	0.870665173	0.315645536
551	0.870819803	0.3154428954
